rowid,variable,value,x,y
odc1,s4d.mecpM1,-0.21712004020384434,16,1015
itln1,s4d.mecpM1,-0.5729306329077734,16,1452
zmynd8,s4d.mecpM1,-0.33105942178692305,16,2149
nudt8,s4d.mecpM1,1.5903710493286434,16,764
sult5a1,s4d.mecpM1,0.5766913846439636,16,515
tmx2b,s4d.mecpM1,0.11731172067955471,16,47
cst3,s4d.mecpM1,-0.09384562986148678,16,1908
zdhhc16a,s4d.mecpM1,1.0233691688160016,16,233
atf3,s4d.mecpM1,0.24356996504466508,16,967
xpnpep3,s4d.mecpM1,0.4059231258690262,16,1087
hmx4,s4d.mecpM1,0.567451702485784,16,271
iars1,s4d.mecpM1,-0.3217255778377167,16,1131
fth1b,s4d.mecpM1,0.16123189855499695,16,2093
masp2,s4d.mecpM1,0.32525137253667036,16,2319
kif18a,s4d.mecpM1,-0.31923844335275214,16,1465
sart3,s4d.mecpM1,-0.11245655749446809,16,1976
caspa,s4d.mecpM1,0.06749950777185136,16,855
dbnla,s4d.mecpM1,-0.03577792803552554,16,829
klhl24b,s4d.mecpM1,1.0899936843164881,16,347
rcor2,s4d.mecpM1,0.0314808691889622,16,1994
hand2,s4d.mecpM1,-0.20042502452678887,16,634
mcl1b,s4d.mecpM1,0.5957723378251093,16,170
arpc1a,s4d.mecpM1,0.27224625104495737,16,182
anapc5,s4d.mecpM1,-0.949396066647751,16,1820
ltv1,s4d.mecpM1,0.672172500295427,16,199
pole3,s4d.mecpM1,0.18717490970887038,16,1532
ube2na,s4d.mecpM1,-0.10110457832111268,16,242
prpf4ba,s4d.mecpM1,0.8276984049022569,16,1911
marcksb,s4d.mecpM1,0.062071710459686874,16,1934
sec11a,s4d.mecpM1,-0.04169066730603002,16,799
pdia6,s4d.mecpM1,0.5668029298640929,16,841
cd74a,s4d.mecpM1,-0.5158005985142061,16,2377
tp53bp2a,s4d.mecpM1,-0.7899810313330794,16,1725
ppp1r13bb,s4d.mecpM1,0.2814424946030807,16,717
fev,s4d.mecpM1,0.23167989108178344,16,452
uevld,s4d.mecpM1,0.6773792667764769,16,486
dnm1b,s4d.mecpM1,0.12180228186601201,16,2224
txndc5,s4d.mecpM1,0.09883557544126786,16,652
zgc.92137,s4d.mecpM1,0.3521785882053383,16,NA
rgs9bp,s4d.mecpM1,0.062264690516275666,16,1703
arf1,s4d.mecpM1,-0.23020503881859125,16,797
xrcc1,s4d.mecpM1,0.11004286715032988,16,2053
prelid3b,s4d.mecpM1,0.3641961354997488,16,1017
rnf150b,s4d.mecpM1,0.3769365666746674,16,1225
gng3,s4d.mecpM1,-0.09810332122758782,16,2089
chia.3,s4d.mecpM1,-0.6615992152115399,16,1405
ascl1b,s4d.mecpM1,0.8434226620028644,16,415
cacnb4a,s4d.mecpM1,0.29566599859004805,16,2029
srek1,s4d.mecpM1,0.0035294878703094786,16,2080
her4.4,s4d.mecpM1,1.1965837236639805,16,21
ddx55,s4d.mecpM1,-0.02975582087509465,16,1639
slc38a5a,s4d.mecpM1,0.14721840288300347,16,67
grpel1,s4d.mecpM1,-0.3706700953698076,16,1091
neu3.2,s4d.mecpM1,-0.400759236242267,16,1374
myd88,s4d.mecpM1,0.4130138870640875,16,168
asap2a,s4d.mecpM1,-0.08770270448224007,16,1903
jak3,s4d.mecpM1,-0.697037153632465,16,1350
ptgs2b,s4d.mecpM1,0.138804503515885,16,1268
radx,s4d.mecpM1,-0.07389025723965613,16,2301
trabd,s4d.mecpM1,-0.05393330020441182,16,1043
hsp90aa1.1,s4d.mecpM1,-0.22348760886034286,16,1053
