NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	841		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	373		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	487		Rejected!	
GOBP_SEROTONIN_SECRETION	9		Rejected!	
GOBP_HISTAMINE_SECRETION	13		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	102		Rejected!	
GOBP_BLASTOCYST_DEVELOPMENT	116		Rejected!	
GOBP_BLASTOCYST_FORMATION	45		Rejected!	
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	8		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	19		Rejected!	
GOBP_BLASTOCYST_GROWTH	22		Rejected!	
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	14		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	56		Rejected!	
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	171		Rejected!	
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	9		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	106		Rejected!	
GOBP_NEURAL_FOLD_FORMATION	7		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	6		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	19		Rejected!	
GOBP_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	9		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RESPONSE_TO_YEAST	7		Rejected!	
GOBP_RECEPTOR_RECYCLING	33		Rejected!	
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	70		Rejected!	
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	12		Rejected!	
